AC PROD HORIZONTAL [kWh];AC PROD BIPV [kWh];GESAMT[kWh]
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0,309;0,105;0,414
12,2300286;4,418;16,6480286
41,41974507;18,887;60,30674507
67,60224949;31,489;99,09124949
81,09632002;39,975;121,07132
82,97913627;37,832;120,8111363
61,82969884;24,623;86,45269884
31,1475644;11,274;42,4215644
5,730556213;2,056;7,786556213
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0,309;0,105;0,414
15,05609866;9,275;24,33109866
60,78324508;52,516;113,2992451
92,06288403;85,623;177,685884
107,9244979;101,416;209,3404979
125,0130527;80,601;205,6140527
112,9685363;63,094;176,0625363
69,47977154;52,916;122,3957715
15,4304253;8,51;23,9404253
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
6,206627381;2,223;8,429627381
30,15938527;10,925;41,08438527
50,75314932;18,653;69,40614932
61,96253809;23,565;85,52753809
61,6672819;23,163;84,8302819
49,5947704;18,192;67,7867704
28,64422934;10,364;39,00822934
6,203692158;2,222;8,425692158
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0,309;0,105;0,414
15,61027481;9,723;25,33327481
57,2576418;44,28;101,5376418
83,68678096;47,337;131,023781
85,16308947;40,017;125,1800895
63,09793768;23,523;86,62093768
72,55982163;30,131;102,6908216
53,06524522;28,236;81,30124522
13,61912028;5,793;19,41212028
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
3,964818544;1,422;5,386818544
15,64691585;5,66;21,30691585
26,65511814;9,648;36,30311814
32,83160422;11,882;44,71360422
32,29619744;11,693;43,98919744
26,15647637;9,46;35,61647637
