Hour;AC Production;DC to AC loss
0;0;0
1;0;0
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0,456;0,051
8;18,4275;2,0475
9;60,015;6,669
10;97,8015;10,8675
11;115,356;12,8175
12;117,846;13,0935
13;88,9545;9,8835
14;45,993;5,1105
15;8,4825;0,942
16;0;0
17;0;0
18;0;0
19;0;0
20;0;0
21;0;0
22;0;0
23;0;0
24;0;0
25;0;0
26;0;0
27;0;0
28;0;0
29;0;0
30;0;0
31;0,4545;0,051
32;22,4445;2,4945
33;79,8255;8,8695
34;120,639;13,404
35;135,573;15,063
36;165,15;18,3495
37;146,88;16,32
38;91,785;10,1985
39;22,3665;2,4855
40;0;0
41;0;0
42;0;0
43;0;0
44;0;0
45;0;0
46;0;0
47;0;0
48;0;0
49;0;0
50;0;0
51;0;0
52;0;0
53;0;0
54;0;0
55;0;0
56;9,375;1,041
57;45,51;5,0565
58;76,149;8,4615
59;92,364;10,263
60;91,8255;10,203
61;74,0625;8,229
62;43,077;4,7865
63;9,339;1,038
64;0;0
65;0;0
66;0;0
67;0;0
68;0;0
69;0;0
70;0;0
71;0;0
72;0;0
73;0;0
74;0;0
75;0;0
76;0;0
77;0;0
78;0;0
79;0,4635;0,051
80;23,673;2,631
81;78,831;8,7585
82;121,251;13,473
83;125,376;13,9305
84;95,3715;10,5975
85;106,29;11,8095
86;77,0805;8,565
87;20,643;2,2935
88;0;0
89;0;0
90;0;0
91;0;0
92;0;0
93;0;0
94;0;0
95;0;0
96;0;0
97;0;0
98;0;0
99;0;0
100;0;0
101;0;0
102;0;0
103;0;0
104;6,1455;0,6825
105;24,255;2,6955
106;41,103;4,5675
107;50,451;5,6055
108;49,557;5,5065
109;40,1535;4,461
110;23,343;2,5935
111;5,43;0,603
112;0;0
113;0;0
114;0;0
115;0;0
116;0;0
117;0;0
118;0;0
119;0;0
120;0;0
121;0;0
122;0;0
123;0;0
124;0;0
125;0;0
126;0;0
127;0,465;0,051
128;15,9615;1,773
129;24,8205;2,7585
130;40,74;4,527
131;49,8975;5,544
132;49,7265;5,5245
133;53,6955;5,9655
134;38,994;4,332
135;10,854;1,206
136;0;0
137;0;0
138;0;0
139;0;0
140;0;0
141;0;0
142;0;0
143;0;0
144;0;0
145;0;0
146;0;0
147;0;0
148;0;0
149;0;0
150;0;0
151;0,4635;0,051
152;18,8655;2,0955
153;48,6255;5,403
154;105,387;11,709
155;147,933;16,437
156;165,0495;18,339
157;131,0235;14,5575
158;66,45;7,383
159;11,58;1,287
160;0;0
161;0;0
162;0;0
163;0;0
164;0;0
165;0;0
166;0;0
167;0;0
168;0;0
169;0;0
170;0;0
171;0;0
172;0;0
173;0;0
174;0;0
175;0;0
176;6,072;0,675
177;24,705;2,745
178;41,4255;4,6035
179;50,721;5,6355
180;50,679;5,631
181;41,355;4,5945
182;24,6315;2,7375
183;6,051;0,672
184;0;0
185;0;0
186;0;0
187;0;0
188;0;0
189;0;0
190;0;0
191;0;0
192;0;0
193;0;0
194;0;0
195;0;0
196;0;0
197;0;0
198;0;0
199;0,4695;0,0525
200;25,5585;2,8395
201;80,493;8,943
202;115,821;12,8685
203;121,842;13,5375
204;99,1755;11,019
205;69,3885;7,71
206;33,5865;3,732
207;6,705;0,7455
208;0;0
209;0;0
210;0;0
211;0;0
212;0;0
213;0;0
214;0;0
215;0;0
216;0;0
217;0;0
218;0;0
219;0;0
220;0;0
221;0;0
222;0;0
223;0;0
224;10,6965;1,188
225;48,2355;5,3595
226;104,28;11,586
227;147,501;16,389
228;164,673;18,297
229;131,8845;14,6535
230;67,845;7,539
231;13,269;1,4745
232;0,4485;0,0495
233;0;0
234;0;0
235;0;0
236;0;0
237;0;0
238;0;0
239;0;0
240;0;0
241;0;0
242;0;0
243;0;0
244;0;0
245;0;0
246;0;0
247;0;0
248;6,6735;0,741
249;25,2045;2,8005
250;41,7135;4,635
251;51,729;5,748
252;51,708;5,745
253;69,579;7,731
254;57,288;6,366
255;19,884;2,2095
256;0,453;0,051
257;0;0
258;0;0
259;0;0
260;0;0
261;0;0
262;0;0
263;0;0
264;0;0
265;0;0
266;0;0
267;0;0
268;0;0
269;0;0
270;0;0
271;0,4545;0,051
272;26,415;2,9355
273;89,331;9,9255
274;118,749;13,194
275;140,0685;15,5625
276;100,0785;11,1195
277;83,454;9,273
278;51,5955;5,733
279;14,979;1,665
280;0,456;0,051
281;0;0
282;0;0
283;0;0
284;0;0
285;0;0
286;0;0
287;0;0
288;0;0
289;0;0
290;0;0
291;0;0
292;0;0
293;0;0
294;0;0
295;0,456;0,051
296;14,268;1,5855
297;50,9985;5,667
298;83,7855;9,309
299;101,3955;11,2665
300;102,6315;11,403
301;85,605;9,5115
302;53,259;5,9175
303;15,6855;1,743
304;0,456;0,051
305;0;0
306;0;0
307;0;0
308;0;0
309;0;0
310;0;0
311;0;0
312;0;0
313;0;0
314;0;0
315;0;0
316;0;0
317;0;0
318;0;0
319;0,4605;0,051
320;22,434;2,493
321;83,9445;9,327
322;133,1655;14,796
323;171,0255;19,0035
324;187,5165;20,835
325;176,928;19,659
326;121,518;13,5015
327;43,251;4,806
328;1,59;0,177
329;0;0
330;0;0
331;0;0
332;0;0
333;0;0
334;0;0
335;0;0
336;0;0
337;0;0
338;0;0
339;0;0
340;0;0
341;0;0
342;0;0
343;0,465;0,051
344;21,8325;2,4255
345;53,2755;5,919
346;86,202;9,5775
347;104,877;11,6535
348;105,3885;11,7105
349;88,062;9,7845
350;55,3515;6,15
351;17,7255;1,9695
352;0,993;0,111
353;0;0
354;0;0
355;0;0
356;0;0
357;0;0
358;0;0
359;0;0
360;0;0
361;0;0
362;0;0
363;0;0
364;0;0
365;0;0
366;0;0
367;0,459;0,051
368;28,071;3,1185
369;96,789;10,755
370;128,6475;14,2935
371;160,941;17,883
372;194,7705;21,6405
373;169,3425;18,816
374;113,7435;12,6375
375;39,2085;4,356
376;2,1705;0,2415
377;0;0
378;0;0
379;0;0
380;0;0
381;0;0
382;0;0
383;0;0
384;0;0
385;0;0
386;0;0
387;0;0
388;0;0
389;0;0
390;0;0
391;1,011;0,1125
392;30,969;3,441
393;101,367;11,2635
394;132,7155;14,7465
395;164,898;18,3225
396;191,2425;21,249
397;183,5655;20,3955
398;128,9685;14,3295
399;50,451;5,6055
400;2,172;0,2415
401;0;0
402;0;0
403;0;0
404;0;0
405;0;0
406;0;0
407;0;0
408;0;0
409;0;0
410;0;0
411;0;0
412;0;0
413;0;0
414;0;0
415;0,462;0,051
416;11,604;1,29
417;28,521;3,1695
418;62,748;6,972
419;94,0815;10,4535
420;111,3225;12,369
421;79,6605;8,8515
422;41,655;4,629
423;10,9545;1,2165
424;0,465;0,051
425;0;0
426;0;0
427;0;0
428;0;0
429;0;0
430;0;0
431;0;0
432;0;0
433;0;0
