Werktag;Samstag;Sonntag;Gewerbe_Werktag;Gewerbe_Samstag;Gewerbe_Sonntag
0,9;0,8;1;0;0;0
0,3;0,9;0,7;0;0;0
0,2;0,5;0,5;0;0;0
0,1;0,1;0,2;0;0;0
0,4;0,1;0,2;0;0;0
3,5;1,1;0,5;0;0;0
9,8;2,8;1,8;2,553191489;0;0
8;4,5;3,8;5,957446809;0;0
6,7;7,5;6,2;5,957446809;0;0
4,8;7,4;8,2;5,957446809;0;0
4,3;7;8;14,46808511;0;0
4,2;7,2;9,3;14,46808511;0;0
6,1;7,3;8;14,46808511;0;0
5,3;6,1;7,1;8,085106383;0;0
3,3;4,8;5,4;8,085106383;0;0
2,9;3,8;4,8;9,361702128;0;0
3,1;4,8;3,1;6,382978723;0;0
5,4;6,7;5,1;4,255319149;0;0
7,6;8,2;6,8;0;0;0
7,9;6,8;7,4;0;0;0
6,1;3,7;3,8;0;0;0
4,4;3,5;3,5;0;0;0
2,5;2,9;3;0;0;0
2,2;1,5;1,6;0;0;0
