Wohnen;Gewerbe;Schule;;;;;;;;
0,000137941;7,12E-05;7,60E-05;;;;;;;;
0,000123146;6,29E-05;7,60E-05;;;;;;;;
0,000112094;5,49E-05;7,60E-05;;;;;;;;
0,000104559;5,17E-05;7,60E-05;;;;;;;;
0,000096552;5,16E-05;7,60E-05;;;;;;;;
0,000090838;5,55E-05;7,60E-05;;;;;;;;
0,000074596;6,21E-05;7,60E-05;;;;;;;;
0,000078588;6,23E-05;7,60E-05;;;;;;;;
0,000083153;6,09E-05;7,60E-05;;;;;;;;
0,000094854;7,15E-05;7,60E-05;;;;;;;;
0,000111145;8,35E-05;7,60E-05;;;;;;;;
0,000128634;9,09E-05;7,60E-05;;;;;;;;
0,000138713;9,67E-05;7,60E-05;;;;;;;;
0,00013567;9,75E-05;7,60E-05;;;;;;;;
0,000139089;8,86E-05;7,60E-05;;;;;;;;
0,000139463;7,90E-05;7,60E-05;;;;;;;;
0,000147047;7,88E-05;7,60E-05;;;;;;;;
0,000166855;0,000103422;7,60E-05;;;;;;;;
0,000172744;0,000113483;7,60E-05;;;;;;;;
0,000168252;0,000115323;7,60E-05;;;;;;;;
0,000154331;0,00010609;7,60E-05;;;;;;;;
0,000140311;9,32E-05;7,60E-05;;;;;;;;
0,000163488;8,36E-05;7,60E-05;;;;;;;;
0,000143804;7,59E-05;7,60E-05;;;;;;;;
0,000112668;7,19E-05;7,60E-05;;;;;;;;
0,000094455;6,29E-05;7,60E-05;;;;;;;;
0,000084251;5,90E-05;7,60E-05;;;;;;;;
0,000076567;6,34E-05;7,60E-05;;;;;;;;
0,000075145;7,61E-05;7,60E-05;;;;;;;;
0,000081232;8,44E-05;7,60E-05;;;;;;;;
0,000104959;0,000106682;7,60E-05;;;;;;;;
0,000133101;0,000159946;7,60E-05;;;;;;;;
0,000139262;0,000252806;7,60E-05;;;;;;;;
0,000138638;0,000282693;7,60E-05;;;;;;;;
0,000137641;0,00028807;7,60E-05;;;;;;;;
0,000143379;0,000292339;7,60E-05;;;;;;;;
0,000147696;0,000258673;7,60E-05;;;;;;;;
0,000143578;0,00021831;7,60E-05;;;;;;;;
0,000142181;0,000215668;7,60E-05;;;;;;;;
0,000137915;0,00023969;7,60E-05;;;;;;;;
0,000134947;0,000248014;7,60E-05;;;;;;;;
0,000163563;0,000246633;7,60E-05;;;;;;;;
0,000184344;0,00018836;7,60E-05;;;;;;;;
0,000187239;0,00013393;7,60E-05;;;;;;;;
0,000170397;0,000113931;7,60E-05;;;;;;;;
0,000167654;9,96E-05;7,60E-05;;;;;;;;
0,000169176;9,23E-05;7,60E-05;;;;;;;;
0,000143903;8,50E-05;7,60E-05;;;;;;;;
0,000105957;7,20E-05;7,60E-05;;;;;;;;
0,000086396;6,30E-05;7,60E-05;;;;;;;;
0,000076541;5,91E-05;7,60E-05;;;;;;;;
0,00007477;6,35E-05;7,60E-05;;;;;;;;
0,000073847;7,63E-05;7,60E-05;;;;;;;;
0,00007991;8,45E-05;7,60E-05;;;;;;;;
