H,Betriebszeit_-,Pers/m2,Qi Sommer W/m²,Qi Winter W/m²,Luftwechsel_Anlage_1_h,Luftwechsel_Infiltration_1_h,Warmwasserbedarf_W_m2,Lüfterstrom_W_m2,"Aufzug, Regelung etc._W_m2",Beleuchtung_W_m2,Nutzerstrom_W_m2,Abwärme W/m²
1,0.932043871,0.025890108,3.259419142,1.629709571,0.372817549,0.07,0.394293711,0.425493664,0.2,0,0.909771652,0.533345899
2,0.932043871,0.025890108,3.131302525,1.565651263,0.372817549,0.07,0.394293711,0.425493664,0.2,0,0.841096782,0.456414794
3,0.932043871,0.025890108,3.093673869,1.546836934,0.372817549,0.07,0.788587422,0.425493664,0.2,0,0.820926541,0.535285339
4,0.932043871,0.025890108,3.116071878,1.558035939,0.372817549,0.07,0.788587422,0.425493664,0.2,0,0.832932637,0.52591138
5,0.932043871,0.025890108,3.393807201,1.696903601,0.474751742,0.07,1.590317968,0.425493664,0.2,0,0.981808228,0.850121039
6,1,0.030420516,5.514818787,2.757409394,0.474751742,0.07,2.37890539,0.57570615,0.2,0,1.811669589,0.542396617
7,1,0.030420516,8.185909291,4.092954646,0.474751742,0.07,3.969223358,0.57570615,0.2,0,2.567093155,0.491971187
8,1,0.030420516,9.120748187,4.560374093,0.474751742,0.07,3.969223358,0.57570615,0.2,0,2.645853145,0.518476862
9,1,0.030420516,7.963721033,3.981860517,0.474751742,0.07,3.286285853,0.57570615,0.2,0,2.712383504,0.5284973
10,1,0.030420516,7.451123259,3.72556163,0.474751742,0.07,2.222197761,0.57570615,0.2,0,2.842786294,0.493264147
11,1,0.030420516,7.526380573,3.763190286,0.474751742,0.07,1.82790405,0.57570615,0.2,0,2.883126777,0.490354987
12,1,0.030420516,7.969861168,3.984930584,0.474751742,0.07,2.616491472,0.57570615,0.2,0,3.12084748,0.503284585
13,1,0.030420516,8.188597052,4.094298526,0.474751742,0.07,3.405078894,0.57570615,0.2,0,3.097315531,0.514921223
14,1,0.030420516,7.682402029,3.841201014,0.474751742,0.07,2.222197761,0.57570615,0.2,0,2.82597776,0.495526826
15,1,0.030420516,7.042583559,3.521291779,0.474751742,0.07,1.420467215,0.57570615,0.2,0,2.623795102,0.493587387
16,1,0.030420516,7.056918285,3.528459143,0.474751742,0.07,1.420467215,0.57570615,0.2,0,2.631479003,0.535285339
17,1,0.030420516,7.896395696,3.948197848,0.474751742,0.07,2.222197761,0.57570615,0.2,0,3.081467484,0.512012063
18,1,0.030420516,8.767272439,4.383636219,0.474751742,0.07,2.616491472,0.57570615,0.2,0,3.802313493,0.52785082
19,0.932043871,0.025890108,10.51832073,5.259160364,0.372817549,0.07,2.497698431,0.425493664,0.2,0,3.93892628,0.517183902
20,0.932043871,0.025890108,9.84369267,4.921846335,0.372817549,0.07,1.984611679,0.425493664,0.2,0,3.312911843,0.52979026
21,0.932043871,0.025890108,8.079231488,4.039615744,0.372817549,0.07,1.590317968,0.425493664,0.2,0,2.789446054,0.629994641
22,0.932043871,0.025890108,7.208396863,3.604198432,0.372817549,0.07,0.788587422,0.425493664,0.2,0,2.322649039,0.553063535
23,0.932043871,0.025890108,5.07289333,2.536446665,0.372817549,0.07,0.788587422,0.425493664,0.2,0,1.741073744,0.515567702
24,0.932043871,0.025890108,3.803242822,1.901621411,0.372817549,0.07,0.394293711,0.425493664,0.2,0,1.201279665,0.52882054
25,0.932043871,0.025890108,3.259419142,1.629709571,0.372817549,0.07,0.394293711,0.425493664,0.2,0,0.909771652,0.525264901
26,0.932043871,0.025890108,3.131302525,1.565651263,0.372817549,0.07,0.394293711,0.425493664,0.2,0,0.841096782,0.516537422
27,0.932043871,0.025890108,3.093673869,1.546836934,0.372817549,0.07,0.788587422,0.425493664,0.2,0,0.820926541,0.516214182
28,0.932043871,0.025890108,3.116071878,1.558035939,0.372817549,0.07,0.788587422,0.425493664,0.2,0,0.832932637,0.512335303
29,0.932043871,0.025890108,3.393807201,1.696903601,0.474751742,0.07,1.590317968,0.425493664,0.2,0,0.981808228,1.136511625
