;Strombedarf_WP
0;0,0
1;0,0
2;0,0
3;0,0
4;20,0
5;40,0
6;80,0
7;125,0
8;170,0
9;200,0
10;230,0
11;230,0
12;190,0
13;160,0
14;100,0
15;100,0
16;100,0
17;100,0
18;100,0
19;100,0
20;100,0
21;85,0
22;55,0
23;40,0
24;40,0
25;40,0
26;20,0
27;0,0
28;40,0
29;40,0
30;80,0
31;80,0
32;105,0
33;105,0
34;105,0
35;105,0
36;55,0
37;85,0
38;135,0
39;155,0
40;160,0
41;230,0
42;230,0
43;230,0
44;270,0
45;255,0
46;200,0
47;140,0
48;110,0
49;95,0
50;60,0
51;20,0
52;0,0
53;0,0
54;0,0
55;0,0
56;40,0
57;55,0
58;100,0
59;130,0
60;170,0
61;215,0
62;250,0
63;195,0
64;180,0
65;180,0
66;160,0
67;125,0
68;125,0
69;140,0
70;140,0
71;140,0
72;95,0
73;80,0
74;80,0
75;110,0
76;115,0
77;90,0
78;130,0
79;120,0
80;120,0
81;150,0
82;165,0
83;235,0
84;275,0
85;275,0
86;285,0
87;265,0
88;265,0
89;265,0
90;265,0
91;170,0
92;190,0
93;195,0
94;180,0
95;165,0
96;120,0
97;90,0
98;90,0
99;70,0
100;40,0
101;70,0
102;120,0
103;100,0
104;100,0
105;130,0
106;160,0
107;190,0
108;270,0
109;280,0
110;280,0
111;265,0
112;250,0
113;250,0
114;250,0
115;235,0
116;220,0
117;205,0
118;130,0
119;95,0
120;65,0
121;75,0
122;105,0
123;95,0
124;75,0
125;135,0
126;165,0
127;195,0
128;170,0
129;170,0
130;170,0
131;170,0
132;200,0
133;185,0
134;200,0
135;205,0
136;190,0
137;170,0
138;170,0
139;170,0
140;170,0
141;155,0
142;110,0
143;80,0
144;80,0
145;125,0
146;140,0
147;120,0
148;100,0
149;100,0
150;130,0
151;130,0
152;170,0
153;170,0
154;200,0
155;185,0
156;185,0
157;195,0
158;195,0
159;195,0
160;195,0
161;235,0
162;220,0
163;180,0
164;180,0
165;180,0
166;170,0
167;155,0
168;155,0
169;140,0
170;120,0
171;120,0
172;100,0
173;90,0
174;90,0
175;110,0
176;170,0
177;155,0
178;140,0
179;125,0
180;110,0
181;140,0
182;170,0
183;170,0
184;210,0
185;190,0
186;170,0
187;155,0
188;170,0
189;200,0
190;185,0
191;195,0
192;180,0
193;140,0
194;180,0
195;185,0
196;165,0
197;155,0
198;155,0
199;155,0
200;195,0
201;195,0
202;155,0
203;110,0
204;140,0
205;130,0
206;130,0
207;150,0
208;170,0
209;170,0
210;170,0
211;175,0
212;180,0
213;165,0
214;180,0
215;140,0
216;140,0
217;140,0
218;140,0
219;140,0
220;130,0
221;130,0
222;130,0
223;170,0
224;170,0
225;170,0
226;240,0
227;255,0
228;305,0
229;300,0
230;230,0
231;215,0
232;215,0
233;215,0
234;215,0
235;190,0
236;230,0
237;230,0
238;230,0
239;215,0
240;215,0
241;160,0
242;160,0
243;150,0
244;130,0
245;120,0
246;110,0
247;140,0
248;180,0
249;170,0
250;185,0
251;190,0
252;205,0
253;170,0
254;170,0
255;170,0
256;170,0
257;170,0
258;170,0
259;190,0
260;210,0
261;195,0
262;140,0
263;140,0
264;95,0
265;140,0
266;165,0
267;165,0
268;135,0
269;155,0
270;155,0
271;195,0
272;195,0
273;195,0
274;210,0
275;255,0
276;260,0
277;280,0
278;280,0
279;280,0
280;280,0
281;280,0
282;280,0
283;280,0
284;280,0
285;280,0
286;280,0
287;280,0
288;235,0
289;220,0
290;220,0
291;210,0
292;180,0
293;180,0
294;180,0
295;180,0
296;195,0
297;195,0
298;195,0
299;210,0
300;265,0
301;275,0
302;260,0
303;245,0
304;245,0
305;245,0
306;245,0
307;235,0
308;250,0
309;250,0
310;280,0
311;280,0
312;250,0
313;200,0
314;180,0
315;170,0
316;110,0
317;100,0
318;130,0
319;130,0
320;130,0
321;130,0
322;155,0
323;170,0
324;210,0
325;220,0
326;220,0
327;220,0
328;220,0
329;245,0
330;290,0
331;305,0
332;305,0
333;305,0
334;305,0
335;305,0
336;235,0
337;220,0
338;220,0
339;220,0
340;190,0
341;140,0
342;130,0
343;130,0
344;130,0
345;130,0
346;170,0
347;150,0
348;115,0
349;130,0
350;160,0
351;160,0
352;220,0
353;265,0
354;265,0
355;295,0
356;295,0
357;280,0
358;250,0
359;220,0
360;180,0
361;180,0
362;165,0
363;150,0
364;130,0
365;140,0
366;140,0
367;140,0
368;155,0
369;170,0
370;170,0
371;155,0
372;170,0
373;200,0
374;200,0
375;220,0
376;240,0
377;265,0
378;265,0
379;280,0
380;295,0
381;280,0
382;250,0
383;160,0
384;100,0
385;100,0
386;100,0
387;60,0
388;60,0
389;100,0
390;100,0
391;130,0
392;170,0
393;155,0
394;185,0
395;200,0
396;230,0
397;240,0
398;240,0
399;240,0
400;240,0
401;210,0
402;240,0
403;240,0
404;240,0
405;240,0
406;225,0
407;210,0
408;170,0
409;165,0
410;165,0
411;165,0
412;95,0
413;70,0
414;95,0
415;100,0
416;100,0
417;100,0
418;155,0
419;210,0
420;250,0
421;260,0
422;260,0
423;290,0
424;290,0
425;290,0
426;275,0
427;220,0
428;190,0
429;190,0
430;190,0
431;190,0
432;90,0
433;60,0
434;100,0
435;90,0
436;85,0
437;90,0
438;110,0
439;110,0
440;100,0
441;165,0
442;180,0
443;185,0
444;230,0
445;225,0
446;225,0
447;195,0
448;195,0
449;170,0
450;140,0
451;100,0
452;100,0
453;140,0
454;140,0
455;140,0
456;110,0
457;80,0
458;80,0
459;130,0
460;80,0
461;60,0
462;100,0
463;130,0
464;130,0
465;130,0
466;185,0
467;215,0
468;270,0
469;265,0
470;250,0
471;205,0
472;150,0
473;150,0
474;150,0
475;110,0
476;110,0
477;110,0
478;110,0
479;110,0
480;105,0
481;90,0
482;120,0
483;135,0
484;150,0
485;140,0
486;180,0
487;170,0
488;170,0
489;155,0
490;170,0
491;185,0
492;165,0
493;175,0
494;175,0
495;175,0
496;175,0
497;110,0
498;110,0
499;130,0
500;150,0
501;150,0
502;150,0
503;150,0
504;135,0
505;120,0
506;100,0
507;115,0
508;110,0
509;140,0
510;130,0
511;130,0
512;130,0
513;150,0
514;140,0
515;125,0
516;80,0
517;110,0
518;140,0
519;100,0
520;80,0
521;100,0
522;100,0
523;100,0
524;100,0
525;100,0
526;85,0
527;125,0
528;110,0
529;110,0
530;140,0
531;210,0
532;180,0
533;170,0
534;170,0
535;170,0
536;150,0
537;130,0
538;155,0
539;110,0
540;95,0
541;55,0
542;105,0
543;105,0
544;125,0
545;125,0
546;140,0
547;180,0
548;180,0
549;180,0
550;180,0
551;150,0
552;165,0
553;170,0
554;160,0
555;140,0
556;130,0
557;130,0
558;110,0
559;90,0
560;130,0
561;130,0
562;195,0
563;230,0
564;270,0
565;280,0
566;280,0
567;280,0
568;280,0
569;290,0
570;275,0
